%Gaussian process regression with a Gaussian likelihood
%model: gpr, kernel: sum
Optimization success: True in 119 iterations, b'CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH'
%.kernel.kernels[0].variance: 1.6295742531087714
%.kernel.kernels[0].lengthscales: [  0.51556398   0.83549776   1.02137618   1.88383657   1.17389732   1.49690591   1.64531543   0.98623127   1.52874677   1.17209423   1.78116442 228.00481396   2.62928727   0.73692999   0.65217057   1.96055514   0.60078923   1.54640415   0.97628583]
%.kernel.kernels[1].variance: 0.02713284288510828
%.likelihood.variance: 0.8516747811412062
%loglikelihood: -6537.233668194998
%RMSE:1.527
%Pearson_correlation_coefficient:0.746,P-value:0.000
%Spearman_correlation_coefficient:0.746,P-value:0.000
%%%%%%PREDICTIONS%%%%%
name,f_pred_mean,f_pred_var,y_true,vina_gauss2,BertzCT,MolLogP,PEOE_VSA7,BalabanJ,SMR_VSA7,as_flex_all,vina_hydrogen,MaxAbsEStateIndex,HallKierAlpha,MaxAbsPartialCharge,vina_repulsion,PEOE_VSA8,PEOE_VSA1,lig_OA,PEOE_VSA3,NOCount,PEOE_VSA6,cc_A.HD_4
1rdi,-1.2204,0.6531,-4.3935,-1.6242,-1.1983,-0.6111,-0.9148,0.4658,-1.2618,-1.2273,1.1369,-1.8861,1.6081,-0.777,-0.182,-0.7456,0.2292,0.0996,-0.8144,-0.6265,-0.9016,-0.6375
1rdj,-1.6182,0.6778,-4.7935,-1.644,-1.2766,-0.8126,-0.9148,0.4337,-1.2618,-1.2273,0.9574,-1.9292,1.6081,-0.777,-0.2877,-1.0848,0.252,0.0996,-0.8144,-0.6265,-0.9016,-0.6375
1rdl,-1.8366,1.0265,-4.2135,-1.6012,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-1.3346,0.9806,-1.9119,1.578,-0.712,-0.1231,-1.2831,0.5656,0.3665,-0.8144,-0.4075,-0.9016,-0.6375
1re8,1.3034,0.9885,3.0665,1.4416,0.6968,0.4826,1.1755,-0.7185,1.7002,1.3469,0.5143,0.6472,-1.3836,0.5344,-0.089,-0.1752,0.2763,0.3665,-0.26,0.0304,0.0712,-0.4026
1rnt,-1.5291,0.6856,-1.2635,-0.5375,-0.2728,-0.6584,-1.214,-0.4172,-0.7412,0.3011,1.0597,-0.0224,0.0181,1.236,0.6716,-1.2831,-0.0241,0.9002,0.285,1.1251,-0.9016,0.7716
1s39,-2.1099,0.7439,1.2465,-1.1721,-0.9942,0.019,-0.6862,-0.0618,-0.1827,-0.4497,0.3887,-0.2648,0.3722,-0.9765,-0.5833,-1.2831,-0.9421,-0.9677,-0.2381,-0.8454,-0.4152,-0.6375
1sl3,1.5541,1.5087,5.3965,1.2735,0.5592,0.3807,0.54,-0.8556,1.6106,1.4274,-0.198,1.3304,-1.3836,1.7371,-0.0289,-0.1452,-0.3217,-0.7009,0.3033,0.9062,0.0323,-0.4026
1slg,-0.7997,1.7066,-2.5535,1.1519,2.3798,-2.4523,0.1632,-0.188,0.4243,-0.1011,0.0934,1.4465,-3.1093,0.9683,-0.3628,1.5048,3.2308,1.9675,-0.2381,3.3146,0.3144,4.5291
1sqa,-0.0440,1.0622,2.7565,0.0172,0.5274,0.1196,0.8685,-0.6656,1.5344,-0.1279,-1.1612,0.6411,-1.4816,-1.1452,-0.4414,0.6564,-0.2906,-0.9677,0.3383,0.0304,-0.172,-0.1678
1sv3,-1.4892,0.3145,-2.1035,-1.303,-1.2607,-0.1186,0.0846,0.2239,-0.3325,-1.281,-1.1315,-0.7659,0.6209,0.9359,-0.9066,-1.2831,-0.3946,-0.434,-0.8144,-1.0644,-0.9016,-0.6375
1syh,0.8324,0.9297,-0.0435,-0.4014,-0.6758,-1.2503,-0.379,0.024,-0.2586,0.8375,2.0672,-0.0092,0.3346,0.9254,0.3747,-0.3439,-0.3347,-0.1672,-0.26,-0.1886,-0.9016,1.0064
1tmn,-0.1762,1.4598,0.8465,0.1415,0.8381,-0.237,0.0716,-0.2905,0.9787,-0.2083,1.4497,0.9775,-0.9918,0.9694,0.1087,1.4529,0.8794,0.0996,-0.8144,0.0304,1.5956,-0.4026
1toi,-1.8739,0.2631,-2.4035,-1.1212,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1737,0.0453,-0.7463,0.7716,0.9942,-0.7661,-0.731,-0.6854,-0.7009,-0.8144,-1.2833,0.3144,-0.6375
1toj,-1.6697,0.2658,-3.0635,-1.069,-1.1866,-0.023,-0.4144,0.3699,-0.1436,-1.1201,0.0598,-0.7463,0.7716,0.9942,-0.7125,-0.731,-0.6854,-0.7009,-0.8144,-1.2833,0.3144,-0.6375
1tok,-2.7696,0.4315,-3.9835,-1.457,-1.5596,-1.048,-0.6854,0.9736,-0.8835,-1.2005,0.4394,-1.1783,0.7641,0.943,-0.404,-1.2831,-0.0776,-0.1672,-0.8144,-0.8454,-0.9016,-0.6375
1trd,-1.9003,0.3977,-1.0535,-1.4304,-1.3868,-0.2977,-1.214,1.0549,-1.2618,-0.691,0.4496,-0.7683,1.0731,1.2357,0.0415,-1.2831,-1.2932,0.3665,0.3416,-0.1886,-0.9016,-0.6375
1tsy,-0.9072,0.4316,-1.4935,-0.5265,-0.5168,-0.3922,-1.214,-0.1357,-0.2287,-0.0743,1.4819,-0.0843,0.4476,1.2311,0.2315,-0.2548,-0.6888,0.9002,0.2631,0.4683,-0.9016,0.5367
1ttm,0.9717,0.5550,0.8965,-0.7465,-0.275,0.3698,0.6701,-0.3499,-0.0217,-1.0128,-0.7817,0.153,0.3572,-0.3983,-0.3414,0.1968,-0.7653,-0.1672,-0.26,-0.4075,-0.6451,1.0064
1tyr,-2.2560,1.7753,0.5465,-1.2971,-0.21,1.1782,1.5064,1.196,0.57,-0.8519,-1.276,-0.5399,0.3798,0.9429,15.3253,0.1046,-0.6854,-0.7009,-0.8144,-1.2833,1.3165,-0.6375
1u1b,0.1410,1.0662,1.3465,0.8462,1.9049,0.0631,-0.9148,-0.977,0.1504,0.2207,0.5044,0.4073,-1.1274,1.2575,-0.3106,-0.0797,-0.0469,4.1023,4.6269,4.1904,-0.9016,-0.1678
1u2y,-1.9414,1.0815,-4.7135,-1.2398,-1.197,-1.1162,-1.214,0.5212,-1.2618,-1.4419,-0.9477,-1.8282,1.0882,-0.54,-0.9472,-1.2831,0.607,0.0996,-0.8144,-0.1886,-0.6941,-0.6375
1u33,-0.8551,1.1778,-1.8535,0.958,0.2531,-2.2554,-1.214,-0.3102,-1.2618,1.052,1.6727,-1.331,0.7867,-0.54,1.4853,-0.9438,3.629,2.7681,-0.8144,2.0009,-0.6941,2.1807
1utp,-2.6208,0.2202,-5.0135,-1.3623,-1.0187,0.2488,-0.136,0.4216,-0.1436,-1.3078,-0.7839,-1.8802,1.1409,-1.1043,-0.5813,-0.8866,-0.9425,-1.2346,-0.8144,-1.5023,0.3144,-0.6375
1uwt,-2.0123,0.7678,-0.4835,-0.7969,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.033,1.1214,-1.8282,1.0882,-0.54,0.1912,-1.2831,0.607,0.0996,-0.8144,-0.1886,-0.6941,3.1201
1v2o,-1.9635,0.2669,-1.7235,-0.5976,0.3213,-0.5563,0.3838,-0.1029,0.7708,-0.5301,-0.7961,0.4436,-0.6828,0.0933,-0.2812,-0.6455,-0.6765,0.0996,1.2587,0.2493,0.2951,-0.6375
1v48,-0.0442,1.1917,1.3465,-0.0874,-0.3549,0.3313,-0.6573,-0.1827,-0.7412,0.2743,0.7181,0.6374,0.0331,0.2963,0.1336,-0.134,-0.6617,-0.1672,-0.2381,0.2493,-0.9016,-0.6375
1vfn,-1.7530,0.3637,-0.8535,-1.3172,-1.1655,-0.2457,-1.214,-0.0835,-0.5442,-0.8251,-0.4391,-0.4924,0.5154,-1.3101,-0.4937,-1.2831,-0.6822,-0.9677,0.3383,-0.6265,-0.9016,-0.4026
1vzq,1.1762,1.2363,0.9865,0.9485,0.6058,-0.8287,0.0846,-0.9175,0.5819,1.1592,-0.6888,1.0148,-0.826,-0.058,0.5305,-0.4433,-0.0977,0.0996,-0.8144,0.2493,-0.172,-0.6375
1x1z,-1.3701,0.5801,4.6065,0.255,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9481,-0.0023,0.2667,1.2311,1.2462,-1.2831,-0.0616,1.4339,0.7913,0.9062,-0.9016,-0.6375
1xgj,-0.4579,1.0248,-0.4535,-0.6246,-0.5808,-0.4505,-0.1884,-0.2122,-0.0126,-0.3424,0.4582,0.0949,-0.1929,0.9359,0.3528,-1.0149,0.236,0.6333,0.159,0.0304,-0.6584,0.7716
1y1m,-1.7178,0.4285,-4.6335,-1.3943,-1.3146,-0.6633,-0.6573,0.521,-1.2618,-0.7447,0.562,-0.5162,1.3293,0.9235,-0.4411,-0.14,-0.3347,-0.7009,-0.8144,-1.0644,-0.9016,1.0064
1y6q,3.3527,0.2197,5.2465,-0.0804,-0.3795,-0.359,-0.9439,-0.4421,-0.698,-0.1279,-0.2732,-1.5048,0.7716,-0.787,-0.5884,-0.0299,-0.0226,-0.9677,0.3383,-0.4075,-0.9016,0.0671
1ydt,1.0249,0.7162,0.8665,0.5575,0.2757,0.6497,0.3489,-0.5891,1.1379,0.1134,-0.9619,0.4989,0.2065,-1.229,-0.2227,0.1791,-0.9677,-0.7009,0.7043,-0.6265,0.956,-0.4026
1zc9,-1.2938,0.9796,-3.2335,-0.6892,-0.814,-0.0371,-0.9148,0.6694,-0.5431,0.0598,-0.3037,-0.7007,0.6812,1.2338,0.7273,-0.5191,-0.6289,0.0996,-0.2913,-0.1886,-0.9016,-0.4026
1zoe,0.4519,0.4737,0.9465,-0.6317,-0.9669,1.3048,1.569,-0.1969,-0.7026,-1.0664,-1.276,-1.8148,2.0678,-1.2028,-0.6633,0.2172,-0.6869,-1.2346,-0.2381,-1.0644,-0.9016,-0.6375
1zs0,0.2018,1.3600,-0.3035,0.3656,0.0788,0.9961,0.585,-0.0601,0.2491,0.5425,-0.5112,0.4032,0.1386,0.4124,0.5023,-0.8205,-1.0024,0.3665,1.7427,-0.1886,0.6228,-0.6375
1zvx,0.1309,1.3441,2.7665,0.3738,0.0788,0.9961,0.585,-0.0601,0.2491,0.6766,-0.2552,0.4032,0.1386,0.4124,0.4224,-0.8205,-1.0024,0.3665,1.7427,-0.1886,0.6228,-0.6375
2aou,0.4464,0.7243,1.2765,0.0526,0.0606,1.0224,1.2318,-0.359,0.5841,0.0598,-1.1591,-1.5325,0.0256,0.5287,-0.2142,0.7293,-0.3533,-0.9677,-0.8144,-0.8454,-0.4347,-0.1678
2ayr,1.9873,1.2582,2.8365,1.1954,1.1983,1.3593,2.7383,-0.8795,1.1934,0.0866,-0.1878,0.1947,-0.9164,0.5342,0.0976,0.1376,-0.0977,0.0996,0.159,-0.4075,-0.172,-0.6375
2b1v,0.1200,0.7242,-0.7135,-0.3892,-0.5026,0.7255,0.4127,-0.2834,0.0309,-1.4955,-0.6908,-1.3945,0.7641,0.5344,-0.8655,-0.2093,-0.3752,-0.434,-0.8144,-1.0644,0.0527,-0.1678
2b7d,-0.3445,1.4900,2.2465,0.5968,0.9154,-0.7793,1.3976,-0.4684,0.7708,0.9715,0.0597,0.1093,-2.4537,0.9939,1.4701,0.6244,1.5322,0.6333,0.3163,1.1251,-0.6584,-0.6375
2baj,0.8632,0.9787,1.9465,0.3602,-0.0325,1.749,-0.1584,-0.4166,0.9299,-0.0475,-0.4095,0.4154,-0.1251,-1.4657,-0.5883,-0.136,-0.9673,-0.9677,0.2814,-0.6265,1.8324,-0.6375
2bak,1.3434,1.2832,0.9765,1.3596,1.5439,0.859,0.6477,-1.0217,0.798,0.3011,-0.8279,0.7753,-1.6172,0.369,-0.3953,2.0853,0.8322,-0.1672,0.9146,0.6872,-0.6584,-0.1678
2bok,0.6275,1.0368,0.0965,0.3754,0.4303,-0.7682,-0.6862,-0.5634,-0.1586,0.6766,-0.8207,1.0172,0.0633,-1.2039,-0.2139,0.7486,-0.7177,-0.7009,-0.8144,-0.1886,-0.4152,-0.6375
2brb,-0.9656,1.0824,-1.5935,-0.1793,-0.0044,1.0836,-0.971,-0.5792,0.8239,-0.7178,-1.276,-1.6597,-0.6376,-0.2405,-0.9269,-0.4335,-0.3825,-0.9677,0.3383,-0.6265,1.5304,-0.6375
2brm,-0.4773,1.0325,-0.5635,-0.1474,0.0454,1.002,-0.7281,-0.5407,0.8239,-0.7178,-1.0696,-1.5306,-0.6376,-0.7014,-0.8598,-0.7017,-0.3481,-0.9677,0.3383,-0.6265,1.5304,-0.1678
2bz6,1.0093,1.3626,0.6365,0.5595,0.1753,-0.2108,0.4048,-0.4103,0.401,1.5078,-1.1062,1.7391,-0.7506,0.9653,-0.2223,0.1882,0.5129,0.0996,-0.3067,0.0304,-0.9016,-0.6375
2bzz,-0.7023,1.7722,-0.0235,1.7001,1.8861,-0.1794,-1.214,-1.2864,-0.4737,2.4196,-0.0199,0.1581,-0.9767,1.3602,1.8331,-1.2831,1.245,4.636,7.9227,5.2851,-0.9016,-0.6375
2c02,-1.8946,0.4232,-2.4135,-0.3694,-0.1291,-0.2696,-1.214,-0.5488,-0.8678,-0.691,-0.1322,-0.2803,0.1612,1.3418,-0.6472,-1.2831,-0.0241,1.4339,1.9704,1.563,-0.9016,-0.6375
2ceq,-0.2856,0.2259,0.8265,-0.6656,-1.0165,-0.6958,-1.214,-0.0451,-0.6939,0.2207,1.4602,-1.704,1.0429,-0.7061,0.6275,-0.6879,0.2416,-0.1672,-0.2381,-0.4075,-0.9016,1.2413
2cer,1.4146,1.2327,2.7665,0.1345,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425,1.6209,-1.5346,0.4551,-0.7061,0.4341,-0.7212,0.2416,-0.1672,-0.2381,-0.4075,0.3144,1.711
2cet,1.3333,1.1871,1.5665,0.0354,-0.3332,-0.1458,-0.4144,-0.4179,0.4094,0.5425,1.6366,-1.5346,0.4551,-0.7061,0.4699,-0.7212,0.2416,-0.1672,-0.2381,-0.4075,0.3144,1.711
2cgr,0.3991,1.5119,0.8265,-0.0725,0.1376,0.0284,0.3276,-0.2914,1.904,0.4352,-0.181,-0.285,-1.3384,0.9563,-0.518,-1.2831,-0.6854,-0.7009,-0.2004,-0.4075,1.5304,1.2413
2ctc,-1.6579,0.3180,-2.5635,-0.9657,-1.165,-0.3401,-0.971,0.3889,-0.1436,-1.0128,0.506,-0.6744,0.7415,0.9631,-0.1038,-0.8437,-0.3718,-0.434,-0.8144,-1.0644,0.3144,-0.6375
2d0k,-0.2284,1.1351,-1.4335,-0.0202,0.2332,-0.973,0.3983,-0.639,0.3621,-0.1547,-0.112,0.2762,-1.67,0.9943,-0.7001,-0.1886,0.9254,0.3665,0.3383,1.1251,-0.9016,0.0671
2d1o,0.9868,1.4865,1.2465,0.6458,0.7374,-0.1627,0.942,0.8187,-0.1586,0.0866,1.1225,0.5848,-0.2382,-1.1043,0.3034,0.61,-0.6166,-0.434,-0.1815,0.2493,1.3537,0.3019
2d3u,-0.4375,0.5052,0.4665,-0.1676,0.0129,0.7135,0.6268,-0.4959,0.9382,-0.3156,-0.4605,0.4097,-0.615,0.9254,-0.7043,-0.8497,-0.6854,-0.1672,0.159,-0.4075,0.3144,-0.6375
2d3z,-0.4793,0.6927,0.1865,-0.214,-0.1089,0.7959,0.6477,-0.5403,0.9461,-0.5033,-0.2171,0.609,-0.2834,0.9254,-0.4264,-0.8497,-0.6854,-0.1672,0.6667,-0.6265,0.2951,-0.6375
2drc,-0.3221,1.1668,3.4365,-0.0375,0.2714,-0.8765,0.3983,-0.5488,0.0385,-0.5033,0.5597,0.3451,-1.67,0.9943,-0.2978,0.3459,1.2513,0.0996,0.3383,1.1251,-0.9016,0.5367
2er9,1.1315,1.6470,0.9465,2.3991,3.2866,0.2677,1.5549,-0.3966,0.9923,1.4542,1.1535,1.6556,-2.9963,-0.1644,0.6684,3.8051,2.2039,1.167,0.8927,2.6578,1.4175,-0.1678
2f01,1.4789,0.2084,6.5465,-0.4089,-0.8944,-0.3025,-0.379,-0.2302,-1.2618,-0.2352,0.5644,-0.1887,1.0731,0.9943,-0.2264,0.2585,-0.0335,-0.434,-0.26,-0.6265,-0.6451,-0.4026
2f80,3.0099,0.0567,1.7265,1.3327,1.0178,0.5951,0.8987,-0.5478,0.6119,0.7034,0.6257,1.0983,-0.2758,-0.1704,0.5366,0.6747,0.5698,0.6333,0.7134,0.4683,0.866,-0.6375
2fai,-0.4374,0.6673,-0.2135,-0.3496,-0.4066,0.8013,0.3918,-0.1941,0.0309,-1.5223,-0.9627,-1.2975,0.7641,0.5344,-0.9473,-0.0771,-0.3752,-0.434,-0.8144,-1.0644,0.3285,-0.6375
2fdp,2.1609,1.5194,1.1365,1.3288,1.3567,1.3127,1.7113,-0.21,1.897,0.8375,1.5664,1.0884,-1.2857,-1.1497,0.1906,2.1989,0.0102,-0.434,-0.3067,-0.1886,1.385,-0.4026
2flb,-0.1817,0.7621,-0.7135,-0.1624,-0.042,0.1067,-0.4223,-0.7294,0.423,0.1403,-0.4457,-1.6518,-0.9616,0.4878,1.5605,-1.0149,-0.6741,-0.9677,-0.2381,-0.1886,0.3144,-0.1678
2fzc,-0.5649,1.5058,-3.7535,-0.7618,-0.8361,-0.3441,-1.214,2.0259,-1.2618,-0.6642,0.753,-0.3598,0.5079,-0.3181,0.386,-0.6567,-0.6413,0.9002,2.353,0.4683,-0.9016,-0.6375
2g5u,0.1390,1.1329,2.0365,-0.6419,-1.0185,1.5203,0.3276,-0.1361,0.1216,-1.7636,-1.276,-1.8512,1.156,0.5002,-1.186,-1.2831,-0.666,-0.7009,-0.8144,-1.2833,0.9661,-0.6375
2g8r,-1.5889,1.3962,-2.4635,-0.6984,-0.1343,-1.6154,-1.214,-0.268,-0.2287,-0.0743,-0.5974,0.2014,0.2441,0.9909,-0.1295,0.8225,0.5329,0.6333,-0.26,0.4683,-0.9016,-0.6375
2g94,1.4502,1.5708,3.0665,1.8212,1.5943,0.3032,0.9773,1.5238,-0.717,2.1782,1.5872,1.1624,-0.6526,-0.3563,0.7694,2.6621,0.615,0.9002,1.2548,1.3441,1.0289,-0.4026
2gss,-1.2281,0.7310,-1.5135,-1.0226,-0.8261,0.563,-0.1645,0.3896,-0.0179,-1.0128,-1.1124,0.1049,0.6134,0.9536,-1.041,-0.6845,-0.3946,-0.1672,-0.8144,-0.8454,0.5709,-0.6375
2hdq,-2.5478,0.3632,-5.0535,-1.602,-1.436,-0.1023,-0.7162,0.0644,-0.5642,-1.0933,-0.7689,-0.9621,1.1334,0.9263,-0.5659,-1.048,-0.6854,-0.7009,-0.8144,-1.2833,-0.6584,-0.6375
2i0d,4.0559,0.4251,5.6465,1.695,1.5969,0.9904,1.4474,-0.5331,1.5412,0.9983,0.0638,1.1754,-1.4514,0.4124,0.1696,0.9429,-0.0721,0.9002,0.7134,0.6872,1.3524,-0.6375
2j77,-1.0649,0.2281,-1.5635,-1.0918,-1.2037,-1.367,-1.214,0.6124,-1.2618,-0.1279,1.4158,-1.8448,1.6081,-0.75,0.1824,-1.2831,0.2868,-0.1672,-0.8144,-0.6265,-0.9016,2.4155
2j78,-0.8113,0.5434,-0.0335,-0.7641,-1.197,-1.1162,-1.214,0.5212,-1.2618,0.1671,1.9372,-1.8282,1.0882,-0.54,0.76,-1.2831,0.607,0.0996,-0.8144,-0.1886,-0.6941,2.6504
2qwb,-1.9876,0.7075,-3.7135,-0.4501,-0.7588,-1.7408,-1.214,0.9317,-1.2618,-0.3424,0.9882,0.0019,0.7792,0.931,0.1009,-0.3152,1.4994,1.167,-0.8144,0.4683,-0.9016,-0.6375
2qwd,-2.4302,0.3699,-1.6035,-0.4574,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.0062,1.1447,0.0007,0.4928,0.9003,0.7447,-0.4628,1.2228,0.6333,-0.8144,0.2493,-0.9016,-0.6375
2qwe,0.2237,0.4968,1.0265,-0.0538,-0.5432,-2.2103,-0.9497,1.0376,-0.8926,0.5157,1.8355,0.1117,-0.0272,0.9003,0.9957,-0.7545,0.8722,0.6333,-0.8144,0.6872,-0.9016,-0.6375
2rkm,-0.6390,1.5297,-2.5535,-0.1517,-0.5096,-1.4751,0.1777,3.135,-1.2618,0.2207,0.8551,0.398,0.8696,0.9695,0.4312,-0.1829,0.6926,-0.434,-0.8144,-0.1886,-0.9016,3.1201
2std,2.1001,0.4995,3.3965,-0.2077,-0.5807,1.3228,0.1344,-0.0827,-0.1755,-1.1469,-1.053,0.5373,1.4273,-1.1977,-0.9197,0.0361,-0.9673,-0.9677,-0.8144,-1.2833,0.6033,-0.6375
2usn,0.2869,1.5013,0.0565,-0.3581,-0.0366,1.0412,-0.7281,-0.6122,0.9746,-0.4229,0.016,0.3636,-0.4341,-0.1551,-0.0732,-1.1509,-0.3505,-0.434,-0.26,-0.1886,1.9867,1.2413
3gss,-1.5121,1.4311,-0.6335,0.5531,0.4548,-1.1979,-0.4079,0.9307,-0.3962,2.2587,0.9881,0.7567,-0.5547,0.973,1.0758,1.3588,1.8235,1.4339,-0.8144,1.1251,0.308,-0.6375
3pce,-1.9244,0.2745,-4.4535,-1.1085,-1.2254,-0.2339,-0.4432,0.3661,-0.3325,-0.691,-0.5903,-0.7661,0.6209,0.9903,0.6978,-0.5559,-0.3718,-0.434,-0.8144,-1.0644,-0.4152,0.7716
3pch,-1.5582,0.4252,-1.0535,-1.0456,-1.3356,-0.0107,-0.1793,0.307,-0.3643,-0.8787,0.0091,-0.8106,0.8395,0.9359,0.6882,-1.2831,-0.3718,-0.434,-0.8144,-1.0644,-0.4347,0.7716
3pcj,-0.9946,0.4003,0.7665,-1.0074,-1.257,-0.6146,-0.9501,0.3628,-0.1936,-0.8787,0.3117,-0.5753,0.4175,0.9359,0.5341,-0.426,-0.3656,-0.1672,-0.8144,-0.6265,-0.9016,0.5367
3std,0.8169,1.3919,4.6565,0.6668,0.2485,1.4455,-0.1858,-0.6288,1.9081,-0.4765,-1.276,-1.1321,-1.037,-0.8375,-0.846,-0.0957,-0.9673,-1.2346,-0.8144,-0.8454,2.26,-0.4026
4er2,2.1415,0.6978,2.8465,1.2211,1.6844,-0.0959,0.929,5.2552,-1.2618,0.6229,0.9513,1.3744,-0.6979,0.9932,-0.1109,2.7909,1.5716,1.167,-0.8144,1.3441,1.8562,-0.6375
4fiv,2.0101,0.7288,0.0665,2.4414,2.9702,0.9633,1.2844,-0.4809,1.7301,1.8833,1.7316,1.4763,-2.627,-0.746,1.7139,1.644,1.0013,0.6333,-0.8144,1.1251,3.8821,-0.6375
4tln,-1.1788,1.1279,-2.7335,-1.482,-1.2462,-0.3991,-0.9566,2.4856,-1.2618,-1.2273,0.1984,-0.2046,1.2992,-1.2166,0.2792,-0.3811,-0.9425,-0.7009,-0.1815,-0.8454,-0.35,0.3019
5abp,-0.7400,0.9357,0.1865,-0.9019,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.7983,0.7964,-1.9119,1.578,-0.712,-0.1488,-1.2831,0.5656,0.3665,-0.8144,-0.4075,-0.9016,-0.6375
5er1,0.0428,1.5983,-0.4335,0.4089,1.0283,-0.1295,-0.4562,1.6225,-0.1436,-0.3156,0.1354,1.2966,-0.1176,0.0933,-0.264,1.3996,0.6393,0.0996,-0.26,0.2493,2.2256,-0.1678
6fiv,0.9386,0.5873,1.6265,0.2216,0.4965,0.5294,0.107,-0.009,0.9746,-0.3692,0.3966,0.8717,-0.7958,-0.1552,-0.0407,-0.4901,0.289,0.0996,-0.26,0.0304,2.082,-0.6375
6rnt,-1.7984,0.3739,-4.0835,-0.771,-0.3818,-0.4407,-1.214,-0.4392,-0.8678,-0.1547,0.637,-0.4181,0.1688,1.236,0.3817,-1.2831,-0.0241,0.6333,1.4377,0.9062,-0.9016,-0.6375
6std,1.5533,1.0969,2.1865,-0.0586,-0.5701,0.9623,-0.144,-0.1185,-0.1927,-0.5838,-1.0393,0.4788,1.6835,-1.2065,-0.8233,0.6962,-0.9673,-0.7009,-0.8144,-1.0644,1.4356,-0.4026
8abp,-0.8556,0.6221,1.5465,-0.9083,-1.2721,-1.1292,-1.214,0.4478,-1.2618,-0.6642,0.8671,-1.9119,1.578,-0.712,-0.1191,-1.2831,0.5656,0.3665,-0.8144,-0.4075,-0.9016,0.0671
1f8b,-2.5640,0.2599,-1.0535,-0.4251,-0.7984,-1.4928,-0.9497,0.8026,-0.8926,0.2475,0.6608,-0.0561,0.4928,0.9004,0.5256,-0.7545,1.1858,0.9002,-0.8144,0.2493,-0.9016,-0.6375
1f8c,-2.3827,0.3567,0.9465,-0.462,-0.7254,-1.724,-1.214,0.9206,-0.8926,0.1671,1.1558,0.0007,0.4928,0.9003,0.5822,-0.4628,1.2228,0.6333,-0.8144,0.2493,-0.9016,-0.6375
1f8d,-2.3271,0.3614,-3.0535,-0.3731,-0.7254,-1.724,-0.9497,0.8483,-0.8926,0.1403,0.7341,-0.0294,0.4928,0.9004,0.4283,-0.7545,1.2228,0.6333,-0.8144,0.2493,-0.9016,-0.6375
1hnn,-0.3996,0.6088,-0.2135,-0.8217,-0.8064,-0.4592,-0.4432,-0.0048,-0.3474,-0.6106,-0.9673,-0.1708,1.0731,-1.2291,-0.3142,-0.5755,-0.9677,-0.7009,0.7517,-0.8454,-0.6584,0.3019
1igj,-0.0969,1.6548,3.5465,-0.0707,1.0154,0.62,2.8215,-0.7831,-0.8985,-1.0933,-1.246,0.2128,0.9827,-0.0102,-1.044,1.6254,0.8336,0.9002,-0.26,0.0304,-0.35,0.5367
1lbk,-1.9576,0.6289,-3.2735,-0.654,-0.8019,-1.8597,-1.214,2.585,-1.2618,0.5157,1.0026,0.0945,0.3949,0.973,0.5054,0.0028,0.925,0.3665,-0.8144,0.2493,-0.9016,-0.6375
1lor,-1.3989,0.5767,4.6065,0.257,-0.4763,-0.8,-1.214,-0.0741,-0.4216,0.6497,1.9093,-0.0023,0.2667,1.2311,1.2542,-1.2831,-0.0616,1.4339,0.7913,0.9062,-0.9016,-0.6375
1n1m,-0.2896,1.1395,-0.7535,-1.0625,-1.0315,-0.1751,-0.6573,0.6043,-1.2618,-0.7715,0.1659,0.2758,1.3293,-1.2182,-0.2949,0.6186,-0.6417,-0.9677,-0.8144,-1.0644,-0.35,0.3019
1o5b,-0.3657,0.2363,-0.6835,-1.0228,-0.9682,0.1622,0.5643,-0.168,-0.2423,-0.7447,-1.276,-1.8267,1.2916,-1.7137,-0.5601,-0.6248,-1.2932,-1.2346,-0.8144,-1.2833,-0.6584,-0.6375
1oyt,0.8606,0.8151,0.7865,0.6006,0.409,-0.3852,0.0846,-0.7528,0.9526,0.5693,-1.0965,0.9162,-0.5471,-1.2039,-0.4806,-0.004,-0.9929,-0.7009,-0.3067,-0.4075,0.0712,-0.6375
1ps3,0.3992,0.7440,-4.1735,-0.5265,-1.0186,-1.4529,-1.214,-0.054,-1.2618,0.4084,1.6773,-0.0586,0.8395,-0.7059,0.7897,-1.2831,0.588,0.3665,-0.8144,0.0304,-0.9016,0.7716
1q8u,1.0891,0.6761,-0.4935,-0.0782,-0.0562,0.1373,-0.1086,-0.2283,-0.1354,-0.8787,-1.276,0.841,0.6285,-1.2319,-0.7845,1.1126,-0.9677,-0.7009,0.159,-0.6265,-0.4152,-0.6375
1qi0,-2.7270,1.1055,-4.1035,-0.9622,-0.6237,-1.7996,-1.214,0.0167,-1.2618,-0.4229,0.4714,-1.529,1.4273,-0.712,0.6427,-1.2831,2.088,1.7007,-0.8144,0.6872,-0.9016,1.9458
